ID,ILLUM,HUMID,CO2,SOUND,TEMP,RYTHM
32,510.28,69.13,483.31,31.45,21.64,81.89398668516031
33,420.26,62.21,542.06,31.78,18.16,80.10529155782028
34,562.05,66.58,529.8,27.36,18.32,80.14464918992422
35,460.19,76.4,508.85,23.91,18.94,78.29938331404776
36,593.98,64.49,528.8,36.1,16.84,80.42626406928984
37,487.84,64.82,489.65,25.97,21.69,80.95137285681767
38,404.1,68.71,424.02,20.83,19.49,73.56859768540892
39,560.16,59.98,350.51,35.05,23.69,78.71853228935456
40,389.87,63.12,455.93,33.71,21.15,79.3018034528854
41,296.58,65.98,515.48,30.15,20.27,79.73690157992439
42,614.66,71.6,499.02,31.81,20.51,82.45020610479374
43,460.72,65.3,437.65,40.54,19.11,78.13430869954732
44,535.67,73.66,473.12,26.63,18.52,77.26844261119355
45,452.61,63.08,485.4,38.86,18.0,78.82641628929551
46,555.29,61.89,499.86,31.96,19.98,81.30689807545073
47,317.54,69.15,465.65,41.83,17.83,77.07896084390984
48,588.07,70.26,535.14,30.66,21.44,84.77678034865856
49,470.28,66.92,459.86,26.16,23.12,80.9717552144303
50,472.96,64.18,468.82,20.55,22.58,79.72019909142804
51,392.06,65.71,480.77,28.71,22.2,80.75495796364807
52,427.03,69.68,484.94,29.08,22.29,81.48427755477286
53,384.21,73.73,455.08,32.39,19.91,77.67409121556531
54,391.89,68.5,530.84,33.31,20.41,82.14706901272876
55,456.09,70.77,512.59,33.38,18.13,79.33981773252884
56,437.62,67.61,474.2,25.86,18.57,76.2838494947704
57,466.98,65.76,534.49,38.83,18.21,81.61694433540832
58,485.25,67.79,516.33,28.68,20.34,81.29525851802288
59,537.59,65.44,475.0,31.49,19.03,78.81444068278944
60,444.27,62.92,499.52,36.85,20.55,81.87781687256592
61,330.22,66.92,582.33,25.31,21.83,84.11788374662156
62,420.54,65.19,364.76,26.38,19.98,72.40074732876492
63,540.08,68.4,571.02,31.89,20.45,85.2279331331425
64,595.71,69.46,465.41,45.9,19.55,82.2880615229297
65,476.53,75.65,430.41,31.56,19.64,76.8561967854599
66,434.93,68.88,521.83,23.59,21.13,81.00437828767897
67,373.3,67.41,476.76,18.92,20.22,76.30337508759033
68,451.94,65.02,475.38,28.72,21.1,79.80904123605319
69,504.49,64.86,444.47,48.62,18.19,79.41425158196509
70,512.86,71.0,478.32,31.0,16.27,75.64922601204293
71,447.31,71.15,493.16,23.61,20.76,79.32400915771785
72,394.76,71.24,426.7,24.42,20.27,75.20200116965603
73,341.71,64.31,508.85,26.34,23.66,82.82130501252345
74,433.73,67.77,499.65,26.88,23.45,83.10706831023865
75,378.26,55.01,498.63,40.48,20.48,81.79316095652585
76,357.03,58.56,567.36,40.73,20.07,84.60023367832792
77,436.45,66.99,466.17,45.14,17.69,78.65075327221564
78,353.34,65.32,480.15,32.37,20.16,78.821337865159
79,525.27,55.87,450.95,30.41,19.04,77.23626751898402
80,523.32,64.91,440.55,32.51,17.71,75.72510039370624
81,377.37,62.51,471.43,21.51,19.65,75.90626718399636
82,433.7,70.68,452.34,32.45,18.46,76.36435665088452
83,454.21,60.65,581.39,33.28,18.24,82.7092247997107
84,321.04,65.06,567.23,35.07,20.4,83.59131624240726
85,541.71,72.9,464.71,30.86,17.52,76.61833188755978
86,530.04,73.96,474.97,39.19,18.29,79.50072417933879
87,448.45,60.9,533.43,31.93,19.29,81.20696050111303
88,459.17,75.15,520.53,30.9,21.43,82.97266853002901
89,503.98,63.29,539.77,26.56,20.74,82.60489266451374
90,384.22,72.32,482.21,29.79,19.91,78.4866112723906
91,435.11,57.89,461.84,38.11,23.39,83.29334368444712
92,574.64,62.62,413.03,36.55,17.19,75.02842776919574
93,391.52,69.33,474.28,28.66,19.19,77.1182347817853
94,575.74,69.49,535.75,26.81,18.6,80.79048050184257
95,557.9,66.56,544.17,36.41,22.36,87.05196747392877
96,334.6,70.09,482.17,30.02,18.97,77.01770285226968
97,498.29,70.65,459.74,29.51,19.49,77.8816968897825
98,501.62,68.71,511.43,31.34,19.82,81.1527633169489
99,579.22,66.69,431.93,37.4,19.72,79.00448257980331
100,448.4,66.23,514.71,24.92,19.24,78.91658923078994
101,531.62,71.55,537.24,36.68,18.24,82.0048688330583
102,390.08,58.53,522.9,32.26,22.15,83.37456648176057
103,572.36,66.31,514.42,29.06,19.62,81.2527711621841
104,328.96,68.82,494.08,34.0,18.66,77.97054367535634
105,323.69,59.91,479.1,25.45,18.78,75.57528891808172
106,374.45,70.26,458.52,24.34,21.51,77.92962339132687
107,347.77,64.88,541.79,30.14,21.11,82.41078819419027
108,398.15,63.84,489.03,32.1,21.3,80.86058093166768
109,420.39,63.17,487.01,39.41,18.62,79.4087788752143
110,592.96,65.28,546.55,26.76,19.75,82.70309241821124
111,480.26,64.59,560.16,34.92,19.49,83.64409901150873
112,369.64,56.3,473.15,50.34,21.89,83.958647178038
113,471.24,71.37,488.96,34.39,19.72,80.28201704129724
114,381.42,79.34,511.85,28.42,15.85,75.21257046428781
115,442.84,64.37,477.98,34.7,18.25,77.85299112284653
116,323.09,64.88,568.97,39.86,18.7,82.7414926923905
117,569.08,68.89,512.96,31.73,19.26,81.29557406235486
118,369.6,66.19,502.72,26.74,21.83,80.8394898296373
119,421.3,62.97,496.74,33.73,19.55,79.81802771650915
120,535.0,60.27,482.38,34.0,20.97,81.74507087021989
121,465.95,71.55,505.87,22.93,19.77,78.890403579353
122,430.0,60.6,435.48,36.77,16.43,74.00213782110181
123,422.43,72.76,454.67,38.54,19.72,78.9776941324779
124,453.62,67.26,515.87,24.59,21.18,81.1164626081507
125,414.14,71.06,499.61,32.66,20.74,81.07865186739807
126,432.26,68.92,412.23,23.17,23.46,78.10322532080701
127,359.99,69.22,483.53,29.87,19.63,78.00887343740108
128,627.61,60.03,455.89,35.5,19.77,80.2433942215408
129,554.18,62.39,446.78,35.32,19.61,78.94044766367983
130,409.12,76.03,510.27,20.23,17.37,75.44653558292153
131,511.08,69.78,497.96,31.45,17.34,77.85947657726473
132,357.12,66.26,517.37,23.78,22.7,81.83429162321703
133,355.25,65.95,485.35,32.81,20.01,79.0189262170847
134,429.12,60.87,477.85,33.3,20.19,79.56846012414434
135,557.17,73.36,446.39,28.17,19.73,77.78974244384544
136,411.58,66.31,452.23,34.99,20.04,78.36462649286958
137,518.49,79.5,464.97,19.8,19.92,76.98866808199637
138,297.61,62.24,515.2,22.94,22.06,80.27925491539702
139,378.12,66.14,571.08,42.08,18.86,83.96436676143024
140,367.24,59.6,507.72,30.81,21.22,81.11939586235704
141,381.85,61.68,501.83,42.87,19.51,81.4334626415075
142,361.7,65.07,480.62,35.34,18.24,77.36757733245773
143,504.78,69.8,545.63,25.78,18.71,80.55696366044124
144,430.55,56.25,515.5,17.42,21.41,79.64835815490218
145,476.31,65.47,526.97,26.76,19.36,80.25522387729559
146,392.52,69.73,516.43,38.94,20.01,82.10927563790746
147,500.83,64.61,473.07,28.12,19.7,78.46600772978024
148,473.59,78.51,488.88,24.23,21.65,80.52634106744411
149,237.46,66.09,534.56,30.77,19.81,79.74956961162212
150,469.67,66.64,462.93,23.88,18.59,75.64898612246503
151,421.65,73.23,534.66,27.35,21.17,82.32957717964115
152,589.59,67.14,534.84,32.02,19.22,82.55119121223751
153,462.17,63.18,527.97,26.7,19.36,80.14368084217807
154,397.05,71.37,482.76,19.48,19.75,76.43700969568098
155,350.47,65.74,527.29,18.68,21.71,80.16602855962938
156,325.3,75.0,474.86,19.74,22.93,79.00831103143773
157,324.64,77.88,458.95,27.31,20.77,77.32689360199763
158,406.37,62.19,508.18,35.25,21.18,82.33983273860447
159,464.09,66.53,491.26,16.04,19.84,76.84733783693599
160,517.5,71.95,557.98,33.03,20.8,85.02576601756053
161,375.58,69.8,446.9,24.44,19.74,75.42282923586097
162,394.49,64.66,558.34,38.87,21.31,85.564987104683
163,595.28,64.14,401.43,25.02,23.61,79.53238836028287
164,517.18,71.05,483.34,29.58,19.3,79.01755420304082
165,509.44,58.15,470.36,38.62,20.55,81.33807120857495
166,599.02,54.57,460.97,25.17,20.25,78.7054113275523
167,616.02,71.47,431.14,28.04,22.11,80.17006826846739
168,460.0,61.93,473.12,35.32,20.51,80.37357169638672
169,437.96,75.3,380.53,26.74,20.63,74.21518173689321
170,470.32,63.46,481.21,37.82,23.29,84.44625694256239
171,289.01,71.51,509.97,26.22,20.01,78.39521707157749
172,311.43,59.78,521.93,37.32,19.91,81.1278992569158
173,478.05,63.57,559.05,37.51,19.96,84.58543697921453
174,572.54,64.12,409.65,35.41,21.7,79.63471876970989
175,401.01,71.24,533.44,27.3,17.9,78.43007073635306
176,424.53,74.32,461.45,36.76,18.65,77.81108132744839
177,714.73,69.14,493.07,23.74,18.26,78.97714724974162
178,313.0,75.98,477.77,19.5,21.64,77.57196070938942
179,515.73,66.91,476.76,31.22,18.63,78.22028189276078
180,455.93,61.99,506.51,32.54,22.52,83.66281812823125
181,405.26,68.35,465.03,35.01,18.19,76.90727229496986
182,437.38,73.91,534.46,33.05,19.07,81.25000395046436
183,518.46,71.8,457.88,14.74,20.49,76.21722110695292
184,362.01,65.47,482.52,34.04,20.14,79.32041017734304
185,437.42,57.74,557.37,27.24,23.35,85.840756905954
186,391.05,72.58,502.93,35.08,19.97,80.66380167227489
187,268.68,48.35,538.89,48.72,19.16,82.85633730426812
188,537.95,68.93,545.48,28.47,21.76,84.74662144333936
189,492.99,62.98,486.97,30.25,19.41,79.15537981479244
190,460.93,67.67,503.34,22.38,18.52,77.19271332580468
191,342.44,70.17,495.39,22.3,21.39,78.91814465084903
192,326.93,60.68,462.63,36.4,18.96,77.13428150262902
193,398.36,62.35,415.41,31.33,20.47,76.16618857330496
194,428.97,66.0,518.9,38.26,21.44,83.97939786431115
195,588.64,70.66,488.37,29.48,21.43,82.24967362089686
196,459.19,66.43,538.83,40.0,17.34,81.02880721101172
197,248.83,76.1,586.05,19.04,20.07,80.47565123901614
198,468.52,66.42,445.46,23.26,23.38,79.96835386288157
199,614.16,62.43,522.32,35.35,18.97,82.4873947676568
200,217.19,67.34,523.36,28.92,17.62,76.2400437000083
201,519.98,77.81,518.24,28.17,20.28,81.62910132107709
202,399.42,64.49,531.98,39.22,19.05,81.87740200247197
203,575.34,70.39,492.23,27.76,20.13,80.54033328630311
204,397.58,58.33,524.54,22.02,19.91,79.04494139224147
205,455.85,64.79,520.17,29.89,19.62,80.62747553856175
206,432.86,63.74,474.36,35.54,21.52,81.36755469658316
207,458.33,67.08,486.73,21.79,18.01,75.66850102221956
208,412.26,58.03,496.2,37.32,20.18,81.06174373082325
209,389.6,71.95,544.02,25.93,22.56,83.75141441606348
210,264.39,78.16,532.68,24.76,20.49,79.59524435750316
211,320.38,69.39,565.06,41.61,18.56,82.75162819172729
212,367.05,66.98,465.92,28.93,20.23,77.6703521161676
213,466.24,66.53,466.82,20.63,20.8,77.62504011536893
214,426.86,76.55,616.29,19.7,19.61,83.19458494972035
215,436.68,66.39,424.36,28.67,18.81,74.63139224168748
216,414.93,73.62,517.96,32.82,18.36,79.40252443189893
217,343.02,66.05,464.35,25.1,21.45,77.9741080776367
218,459.88,70.51,489.49,41.08,16.77,78.22934789594191
219,484.72,69.19,486.01,19.88,25.55,83.87782398581572
220,646.06,59.45,524.49,30.94,20.7,83.9149653425587
221,530.31,62.06,467.18,41.45,20.09,81.44759855026241
222,373.3,57.7,446.38,40.37,21.58,80.40664778506383
223,385.11,69.59,531.15,26.15,22.65,83.20024807608533
224,443.84,65.02,492.14,29.6,20.41,79.96456260341299
225,370.16,63.05,458.77,30.69,20.39,77.83174254594746
226,546.99,75.72,506.59,35.77,20.47,82.97285320570629
227,380.07,66.6,519.1,27.08,21.64,81.59742846888537
228,510.21,65.82,489.01,34.67,21.17,82.24863617280128
229,481.11,68.65,470.05,28.52,22.55,81.4131693929076
230,440.4,62.95,414.24,19.05,18.72,72.16487106041859
231,428.76,69.82,479.08,37.53,19.09,79.311139052487
232,537.59,66.61,462.24,27.22,19.41,77.78904744124793
233,606.0,64.19,475.72,35.37,19.8,81.06668997579172
234,479.8,66.06,452.18,32.45,21.86,80.50082202535619
235,541.99,69.59,524.73,29.07,18.4,80.16314142243885
236,442.35,59.77,417.0,34.76,23.66,80.82285899182145
237,334.37,68.78,512.05,25.04,17.95,76.36998114420378
238,420.81,66.64,499.72,32.45,19.83,80.05453293601573
239,424.1,60.58,478.79,48.42,18.63,80.78019212399025
240,536.02,70.5,504.49,26.3,19.06,79.31659020622206
241,504.98,72.54,521.26,36.25,19.13,81.89132392662077
242,331.37,63.05,523.39,29.65,22.22,82.477704949668
243,230.06,61.0,494.61,24.3,22.64,79.55342305246987
244,390.65,71.36,581.54,22.67,18.64,80.61686710499426
245,449.46,58.87,517.89,35.99,21.86,84.07412518440671
246,553.59,69.28,566.66,28.73,21.53,85.72647397682675
247,270.15,67.16,507.17,21.52,19.83,76.9329944536601
248,353.68,65.49,533.47,27.47,19.79,80.07865318629513
249,408.68,71.99,557.8,29.48,19.36,81.74454314665772
250,559.77,70.85,556.73,27.1,19.5,82.74191362853216
251,434.15,71.86,522.32,25.61,20.33,80.55489912530265
252,314.57,69.58,487.6,39.96,20.69,80.93950579832533
253,377.46,58.64,488.34,28.59,20.59,79.1216917576898
254,556.07,70.83,517.61,31.35,19.95,82.11453943248787
255,584.52,73.81,523.48,24.62,20.79,82.30863369407831
256,410.3,64.98,507.4,14.88,23.6,81.08032535481178
257,433.09,72.3,481.95,27.42,22.24,81.03778803124408
258,406.69,66.25,527.64,32.52,21.55,83.21349079988187
259,344.9,61.41,497.96,38.8,21.32,82.12066791529031
260,460.2,68.13,566.33,28.6,19.93,83.05509409064683
261,393.85,69.37,480.34,14.44,22.69,78.54906636047471
262,448.18,58.29,474.53,30.47,18.06,76.64265807205874
263,434.54,59.5,514.54,39.51,21.01,83.52325787164715
264,457.74,60.48,468.0,29.51,21.77,80.354483000721
265,596.18,61.0,471.4,43.79,20.78,83.46190320160585
266,414.52,59.37,503.81,41.71,20.0,82.12282336693178
267,442.92,57.36,486.15,35.93,22.41,83.04154844467479
268,526.76,66.93,500.62,36.41,17.14,78.84975186283066
269,407.9,59.55,451.39,33.22,22.65,80.77714068213263
270,287.57,72.2,488.35,31.14,20.13,78.41816610015076
271,541.44,72.38,506.08,26.87,20.12,80.74681356880035
272,487.97,64.67,533.74,31.34,20.45,82.7854925102404
273,454.36,68.51,486.63,24.58,19.84,78.2123084691462
274,470.35,65.62,586.57,40.24,18.41,84.69806768363844
275,405.32,64.54,543.51,21.64,20.24,80.39442449573
276,370.82,58.18,535.54,36.87,21.24,83.70578832580848
277,293.05,62.32,474.16,26.11,20.56,77.17897033536089
278,468.85,80.2,584.84,15.84,16.4,77.75514741498375
279,563.96,68.56,447.96,38.27,18.72,78.73080218084705
280,503.3,68.35,444.71,30.26,20.45,78.378681587524
281,381.87,64.38,433.84,22.79,21.17,76.05349161640895
282,399.73,65.52,513.91,33.51,21.67,82.79574452715889
283,510.9,70.51,466.61,31.82,19.52,78.8146331512753
284,362.03,74.21,499.52,22.02,18.01,75.5337961127681
285,406.75,60.96,491.64,35.72,20.66,81.03544366571717
286,460.06,63.75,474.93,32.74,20.63,80.11037702079491
287,406.79,66.88,549.64,20.99,15.23,75.04972669582176
288,515.0,71.55,463.39,29.72,20.39,79.25888877783858
289,554.47,62.33,491.55,32.1,20.8,81.83191580217019
290,349.79,71.3,444.22,43.17,19.79,78.77250002085893
291,416.82,62.54,443.67,38.06,20.54,79.10944830064095
292,513.57,62.9,513.24,38.19,20.99,83.92709267247824
293,307.41,68.2,437.61,34.4,20.43,77.03848634801676
294,412.93,64.04,508.25,23.43,22.25,81.30498376728198
295,546.89,65.98,456.67,34.25,20.63,80.31490992698883
296,346.8,67.1,439.82,22.53,18.92,73.50938243521026
297,505.86,58.58,492.65,28.11,21.8,81.74336268023137
298,393.53,75.43,523.27,36.34,23.33,85.68024820716778
299,236.35,64.69,552.64,25.42,21.23,81.14674713895124
300,449.09,64.73,551.04,25.05,18.94,80.38473981437022
301,418.8,62.1,519.86,30.32,20.82,81.66610730273695
302,589.61,64.47,439.54,36.64,19.72,79.30385531966974
303,258.47,62.94,538.89,30.98,20.36,80.7741662422253
304,467.0,66.46,559.27,31.58,19.55,82.9137926643022
305,489.95,68.1,515.87,24.1,21.57,81.79008567490173
306,316.88,69.17,488.31,30.68,22.35,81.02538086516515
307,369.7,77.02,519.5,29.77,21.63,82.13065544951195
308,469.79,60.12,482.82,32.07,21.8,81.71913413585838
309,494.77,70.94,480.85,32.46,21.72,81.93457532121356
310,420.17,73.65,440.93,25.16,17.18,72.87114134642417
311,95.05,70.5,544.69,35.19,21.76,82.01908918126915
312,496.22,70.26,532.63,36.39,18.07,81.20138952714495
313,474.87,64.92,446.38,36.65,21.11,80.14726775272317
314,433.25,70.51,543.55,34.22,19.31,82.12144941077264
315,475.87,75.18,555.13,22.79,20.38,82.07962967493194
316,321.82,67.79,556.93,35.92,18.83,81.5428997134881
317,437.66,58.16,515.19,25.94,21.39,81.3511332323134
318,474.76,62.63,448.13,24.54,17.86,74.251486200594
319,397.51,72.56,652.55,40.54,17.1,85.94576975726781
320,310.1,66.95,488.29,30.86,20.43,78.84944640012111
321,370.22,61.34,562.73,27.6,21.75,83.82447575996038
322,524.82,75.46,489.42,30.76,20.17,80.61940439547863
323,581.88,68.97,385.11,35.03,19.07,75.56991968473659
324,428.06,76.39,464.54,22.11,22.14,79.0307615591658
325,410.17,67.47,480.86,35.31,18.43,78.04497959702692
326,395.91,63.34,461.53,31.04,20.49,78.38200688011213
327,482.81,63.63,534.15,36.74,20.23,83.55659392100915
328,322.37,65.59,452.43,37.82,18.16,76.02678927676783
329,450.65,74.23,555.7,30.86,17.79,80.5702520433475
330,403.55,64.98,457.0,36.39,15.64,73.90889942000047
331,324.58,64.4,489.1,29.01,18.04,75.98764798659424
332,379.16,56.39,520.41,43.48,20.17,83.1229964370684
333,318.21,61.23,505.08,23.58,20.43,78.27768210301709
334,642.67,66.7,498.99,29.42,22.93,84.8751306040848
335,433.13,60.54,541.59,32.84,20.72,83.22766877571269
336,355.45,62.17,546.76,29.01,19.92,81.16044942900476
337,506.96,59.45,436.15,44.72,21.68,82.0886076582922
338,418.36,58.45,485.78,25.31,23.6,82.0629348378607
339,590.26,64.53,503.99,48.82,20.79,86.02990681539217
340,307.56,63.46,526.1,45.23,18.43,81.23006185658221
341,465.52,73.38,437.49,30.21,19.98,77.19735345535844
342,432.21,74.73,525.83,19.77,22.35,81.83823039827357
343,562.84,60.83,443.92,32.99,21.0,79.95161870228725
344,494.91,60.73,431.2,24.33,21.18,77.22522603852855
345,532.07,63.18,476.06,28.33,20.34,79.63294233764125
346,426.22,60.09,499.07,30.71,20.49,80.40484809762941
347,452.8,66.03,533.47,27.58,19.0,80.12693205634645
348,403.18,64.44,455.99,32.71,17.68,75.39614327771048
349,340.97,61.29,457.55,31.72,21.9,79.3658049536263
350,528.42,75.49,533.11,30.94,16.58,78.85176401522018
351,491.85,65.53,431.84,26.6,22.02,78.64567535731719
352,448.38,63.41,437.13,39.02,21.61,80.4552270272329
353,494.36,56.54,500.79,33.22,18.06,78.86885368266556
354,392.54,66.17,494.35,27.44,21.69,80.61737623894686
355,430.17,67.99,572.52,26.32,21.22,84.07181423542377
356,480.51,61.09,527.99,16.82,19.76,78.81203982001618
357,416.46,72.67,566.17,25.57,19.07,81.14942506237985
358,382.9,64.17,471.22,30.33,19.04,77.00173119618722
359,329.83,59.27,476.0,33.03,18.42,76.5492561086449
360,329.67,69.36,524.0,25.93,18.57,77.77963859299896
361,520.1,65.09,466.78,31.17,22.18,81.67900066264514
362,336.29,75.93,498.95,37.92,19.92,80.50046612062438
363,298.51,65.6,506.85,18.93,21.33,78.31855170639605
364,552.24,61.75,429.71,25.31,22.14,78.93553173275853
365,608.0,69.23,412.09,27.04,19.36,75.89911541919383
366,565.83,74.6,471.81,23.99,16.95,75.23164821813191
367,416.33,63.91,529.51,27.86,19.87,80.60189117516006
368,414.18,71.9,533.35,32.34,20.72,82.65794700050142
369,507.57,64.54,510.68,30.15,18.55,79.49238645022997
370,454.25,69.63,484.57,27.65,18.83,77.5983875517599
371,420.08,67.17,569.23,30.59,17.7,80.74066550937512
372,435.76,70.59,462.48,14.51,18.87,73.84240331415133
373,427.41,59.39,492.56,42.71,18.48,80.19737224760834
374,458.83,65.17,475.88,34.03,17.78,77.25063234202776
375,528.04,66.94,466.43,24.43,22.27,80.53847883135154
376,268.61,68.05,493.37,22.66,20.46,77.17020769298047
377,494.19,74.83,462.08,36.64,20.71,80.73769471713807
378,517.06,61.62,499.56,30.49,21.48,82.32013329442944
379,391.31,71.72,480.77,24.79,18.39,75.81653465844988
380,494.38,70.29,443.03,26.54,20.02,77.0324152021598
381,404.73,70.39,486.97,22.93,19.85,77.48659210104469
382,410.85,67.63,558.82,32.5,14.96,77.48485948109752
383,364.22,66.13,562.83,28.09,18.98,80.84351495004542
384,447.95,73.26,462.81,27.88,19.12,76.87283452582972
385,505.98,66.91,454.61,34.35,21.7,81.05737470574381
386,330.27,67.88,432.49,19.48,18.37,71.80374521660556
387,479.19,68.32,413.28,34.93,19.13,76.06343053451474
388,532.95,72.25,480.65,19.73,21.04,79.05089444501237
389,316.49,70.16,483.13,35.01,17.5,76.24319123072843
390,469.57,75.84,542.75,29.47,18.92,81.10284775988121
391,741.84,67.76,446.12,28.2,16.27,75.5682609210124
392,390.23,70.23,497.86,35.61,20.4,80.96596772913404
393,426.37,64.91,492.65,23.22,20.91,79.14281081925391
394,454.12,58.25,431.13,42.05,20.55,79.58046495982313
395,203.14,61.21,498.55,29.56,21.53,79.29825720049936
396,384.44,68.52,538.6,25.84,20.43,81.02878218903388
397,409.37,57.33,520.93,31.43,23.56,84.84309815407664
398,481.15,59.99,457.59,30.32,23.32,81.9270280672245
399,428.72,67.2,510.11,41.88,17.76,80.18200047527188
400,292.28,65.71,553.17,44.82,18.88,82.8596344729754
401,395.26,68.67,570.49,30.0,19.91,82.92636914342228
402,459.82,59.56,507.04,28.09,18.62,78.51254243546266
403,557.76,70.36,437.08,22.03,18.92,75.21786179262364
404,415.45,63.55,498.69,35.66,18.39,78.95581386047898
405,469.26,62.85,483.0,29.33,23.46,83.05487097143718
406,584.2,57.79,474.05,32.05,21.14,81.56814768410582
407,400.09,73.32,506.2,35.08,17.53,78.20811737689954
408,418.56,57.89,489.29,26.67,22.93,81.75389686713382
409,458.33,65.9,522.88,23.15,23.82,84.13690923386416
410,263.51,70.25,470.52,26.14,19.62,75.76896167872735
411,387.12,62.15,529.71,35.33,18.97,80.78743682422527
412,429.9,64.16,471.81,27.98,22.38,80.701266473637
413,485.29,61.35,425.84,41.3,19.12,77.90026674124566
414,325.1,72.26,477.03,21.87,18.62,74.72490369790762
415,497.27,69.54,482.41,22.6,20.78,79.05983119175457
416,333.18,74.4,592.07,33.03,19.99,84.15384119573284
417,461.66,67.35,448.67,28.78,19.98,77.37771387889572
418,510.32,65.63,481.27,30.6,19.34,79.0473015919523
419,374.1,66.93,559.07,27.91,19.07,80.8205018658187
420,306.29,78.42,505.82,27.04,20.83,79.47965041789743
421,493.73,67.91,520.21,32.12,21.53,83.55225405399145
422,284.03,73.11,510.01,22.42,22.13,79.97707438608163
423,443.08,63.09,425.4,42.13,19.31,77.88444011971896
424,330.09,65.08,540.57,23.11,20.56,80.21460887090987
425,409.61,61.32,517.2,28.91,20.92,81.28163805401509
426,353.19,67.47,492.75,23.03,21.85,79.5133335051207
427,354.52,69.43,525.45,27.06,20.44,80.36934855851268
428,358.65,69.87,456.79,34.54,20.58,78.65251355435072
429,448.91,59.06,494.91,36.2,19.79,80.68942843159766
430,556.38,67.67,505.58,31.46,21.69,83.44840596636033
431,393.15,79.34,524.46,24.26,18.49,78.05437656443267
432,383.81,69.79,536.12,28.87,18.94,79.85103717631978
433,333.18,67.19,455.99,24.44,19.5,75.19507245093047
434,523.61,72.49,457.0,17.54,20.04,76.27313607249881
435,538.14,68.93,517.35,31.1,21.45,83.53618338377004
436,467.53,67.4,518.1,31.17,20.73,82.135061799168
437,413.9,66.99,459.17,37.49,18.5,77.51190164607743
438,471.18,61.91,474.56,38.21,20.92,81.56231132675985
439,387.67,57.6,504.14,32.28,23.46,83.87969208379585
440,508.92,71.72,450.16,28.76,22.54,80.75258325266968
441,375.08,70.47,541.09,28.7,22.64,84.09047638578613
442,279.56,60.16,498.96,27.71,21.76,79.89576244576756
443,644.33,69.11,493.47,23.08,19.56,79.67153561456318
444,348.68,54.74,505.62,26.22,20.58,79.20108603516748
445,471.51,64.38,457.5,36.12,22.56,82.16179133005191
446,318.17,67.54,481.72,26.96,20.91,78.37848169479626
447,502.92,66.86,503.88,28.45,18.2,78.41885923952842
448,344.73,69.33,582.97,25.66,20.71,83.12926396761944
449,512.38,64.85,550.13,28.24,20.16,82.88765036080628
450,396.79,69.0,537.58,28.73,17.9,78.8529297089521
451,304.98,65.86,504.93,37.61,19.34,79.71527307276773
452,519.14,75.88,508.54,38.76,18.17,80.85018554502463
453,552.48,61.77,472.53,37.27,19.99,80.98382038165056
454,294.6,64.7,465.8,26.83,21.87,78.39675071912541
455,458.81,65.05,468.79,30.32,19.92,78.55152250775691
456,442.59,64.02,473.26,34.16,20.23,79.7056584124846
457,389.2,66.37,467.75,36.57,22.49,81.9474980550535
458,492.9,64.18,503.19,30.89,20.42,81.20564230562434
459,463.58,68.0,557.1,36.5,17.01,80.93239042049552
460,505.58,64.75,532.24,33.8,18.59,81.28908159033239
461,460.39,63.06,472.57,30.22,19.99,78.79131501388255
462,317.47,72.69,533.85,19.6,20.48,79.06805856489095
463,518.51,63.58,488.63,38.7,18.89,80.54173133013622
